question_text,topic,method,method_reason
x^2 + 6x + 8 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This quadratic can be factorised into two linear brackets, so factorisation is efficient. Completing the square and the quadratic formula are also valid general methods."
x^2 + 7x + 12 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,This quadratic factorises cleanly into integer brackets. All standard solving methods apply.
y^2 + 7y + 10 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,The expression can be factorised using integer factors. Other general methods can also be used.
y^2 + 3y - 4 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This quadratic has integer factors, making factorisation straightforward. All solving methods are valid."
x^2 - 2x - 8 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,The quadratic splits into two integer brackets. Completing the square and the quadratic formula also work.
m^2 - 7m + 12 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This equation factorises neatly, but all standard quadratic methods apply."
y^2 - 10y + 25 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This is a perfect square trinomial, so factorisation is direct. Other methods are also applicable."
y^2 - 4y - 45 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,The constant term and linear term allow clean factorisation. All solving methods can be used.
x^2 - x - 56 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"The quadratic factorises into integer brackets, making factorisation efficient."
y^2 + 10y + 24 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This quadratic factorises cleanly, though all standard methods apply."
x^2 + 9x + 18 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,The equation factorises easily using integer factors. Completing the square and the quadratic formula are also valid.
x^2 + 23x + 22 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This quadratic splits into two integer brackets, so all solving methods are applicable."
y^2 - 13y + 22 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,The quadratic can be factorised into integer factors. Other methods also apply.
x^2 + x - 12 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This equation factorises cleanly, but completing the square and the quadratic formula also work."
m^2 - 6m - 27 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"The quadratic factorises into integer brackets, so all standard methods can be used."
x^2 - 11x + 18 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This quadratic splits into two integers, allowing factorisation and other general methods."
y^2 - 14y + 48 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,The expression factorises cleanly into integer brackets. All methods apply.
x^2 - 15x + 56 = 0,Quadratic Equations,Factorisation / Completing the square / Quadratic formula,"This quadratic can be factorised using integer factors, though all standard methods are valid."
x^2 + 4x - 3 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
x^2 + 6x - 10 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
x^2 - 2x - 5 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
x^2 - 10x + 1 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
x^2 + 8x + 3 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
x^2 - 8x - 22 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
x^2 + 20x + 7 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
x^2 - 12x + 1 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
x^2 - 30x - 100 = 0,Quadratic Equations,Completing the square / Quadratic formula,"For factorisation to work cleanly, the quadratic must split into two integer brackets. There are no two whole numbers that multiply to give the constant term and add to give the linear term."
6x + y = 18; 4x + y = 14,Simultaneous Equations,Elimination / Substitution,"Both equations are linear with two unknowns, so either elimination or substitution can be used to reduce the system to one variable."
4x + 2y = 10; x + 2y = 7,Simultaneous Equations,Elimination / Substitution,"Both equations are linear with two unknowns, allowing one variable to be eliminated or substituted easily."
9x âˆ’ 4y = 19; 4x + 4y = 20,Simultaneous Equations,Elimination / Substitution,The equations are linear and can be combined to eliminate one variable or rearranged for substitution.
2x + y = 36; x âˆ’ y = 9,Simultaneous Equations,Elimination / Substitution,"Each equation is linear, making elimination or substitution suitable methods."
6x âˆ’ 3y = 12; 4x âˆ’ 3y = 2,Simultaneous Equations,Elimination / Substitution,"The matching coefficients make elimination straightforward, while substitution is also possible."
3x âˆ’ 6y = 6; 2x âˆ’ 6y = 3,Simultaneous Equations,Elimination / Substitution,"Both equations share a common coefficient, making elimination efficient."
8x + 7y = 39; 8x + 2y = 34,Simultaneous Equations,Elimination / Substitution,"Equal coefficients allow direct elimination, and substitution remains valid."
x + 3y = 38; x + 6y = 53,Simultaneous Equations,Elimination / Substitution,Subtracting the equations eliminates a variable; substitution also applies.
6x + 3y = 48; 6x + y = 26,Simultaneous Equations,Elimination / Substitution,The equations are linear and can be simplified to remove one variable.
2x âˆ’ 4y = 10; 2x + 3y = 24,Simultaneous Equations,Elimination / Substitution,Linear equations allow either elimination or substitution to isolate a variable.
5x âˆ’ 2y = 120; 5x + y = 165,Simultaneous Equations,Elimination / Substitution,"Matching coefficients make elimination natural, with substitution also possible."
x âˆ’ 2y = 8; x âˆ’ 3y = 3,Simultaneous Equations,Elimination / Substitution,"The equations are linear and closely related, making both methods effective."
3x + 2y = 54; 2x âˆ’ 2y = 16,Simultaneous Equations,Elimination / Substitution,Linear structure allows one variable to be removed or substituted easily.
7x âˆ’ 4y = 80; 3x âˆ’ 4y = âˆ’80,Simultaneous Equations,Elimination / Substitution,Equal coefficients make elimination efficient; substitution also works.
5x âˆ’ 2y = âˆ’23; 5x âˆ’ 6y = âˆ’39,Simultaneous Equations,Elimination / Substitution,The equations are linear and can be manipulated to eliminate a variable.
6x + 2y = âˆ’26; 2x + 2y = âˆ’10,Simultaneous Equations,Elimination / Substitution,"Both equations are linear, allowing elimination or substitution."
x âˆ’ 5y = 65; 2x âˆ’ 5y = 85,Simultaneous Equations,Elimination / Substitution,"Equal coefficients enable elimination, while substitution remains valid."
